matricula_funcionario;Nombre Funcionario;Cargo;codigo_tienda;nombre_tienda;codigo_producto;descripcion_producto;Categoria;precio_costo;valor_unitario;cantidad;comision;dt_venta;dt_entrega
123456111;José María;Vendedor;CL001;Tienda Matriz;10013;Fogón;Electrodomésticos;210,9;404,1;1;;28/09/20 16:19;5/10/20 16:31
123456111;José María;Vendedor;CL001;Tienda Matriz;10018;Colchón;Casa;109,9;249,9;1;;7/03/20 12:47;8/03/20 12:47
123456111;José María;Vendedor;CL001;Tienda Matriz;10014;Heladera;Electrodomésticos;699,9;1346,9;1;;21/04/19 10:48;23/04/19 15:55
123456111;José María;Vendedor;CL001;Tienda Matriz;10001;Smartphone;Electrónicos;899,9;1676,9;1;;7/05/20 17:59;8/05/20 14:31
123456111;José María;Vendedor;CL001;Tienda Matriz;10004;Máquina de lavar ropa;Electrodomésticos;1099;1709,1;1;0,05;14/08/19 16:56;19/08/19 15:52
123456111;José María;Vendedor;CL001;Tienda Matriz;10010;Freidora eléctrica;Cocina;187,9;340;1;;10/07/19 15:11;11/07/19 14:30
123456111;José María;Vendedor;CL001;Tienda Matriz;10014;Heladera;Electrodomésticos;699,9;1346,9;1;;26/06/19 11:03;28/06/19 13:37
123456111;José María;Vendedor;CL001;Tienda Matriz;10006;Aspiradora de piso;Casa;88,9;189,9;1;;15/03/20 13:00;16/03/20 11:15
123456111;José María;Vendedor;CL001;Tienda Matriz;10010;Freidora eléctrica;Cocina;187,9;340;1;;15/08/20 11:36;15/08/20 14:22
123456111;José María;Vendedor;CL001;Tienda Matriz;10017;Cama Box;Casa;1189,9;1899,5;1;;6/03/19 13:01;11/03/19 12:01
123456111;José María;Vendedor;CL001;Tienda Matriz;10003;Televisor;Electrodomésticos;1400,9;2279,99;1;;11/10/19 12:44;17/10/19 14:58
123456111;José María;Vendedor;CL001;Tienda Matriz;10004;Máquina de lavar ropa;Electrodomésticos;1099;1709,1;1;0,05;30/10/19 17:22;3/11/19 10:21
123456111;José María;Vendedor;CL001;Tienda Matriz;10018;Colchón;Casa;109,9;249,9;1;;28/05/20 16:00;29/05/20 14:16
123456111;José María;Vendedor;CL001;Tienda Matriz;10013;Fogón;Electrodomésticos;210,9;404,1;1;;30/12/19 15:07;4/01/20 16:48
123456111;José María;Vendedor;CL001;Tienda Matriz;10016;Guarda Ropa;Casa;489,9;999;1;;16/04/19 9:22;23/04/19 10:49
123456111;José María;Vendedor;CL001;Tienda Matriz;10020;Impresora;Electrónicos;329,9;674,1;1;;7/09/19 15:29;8/09/19 13:00
123456111;José María;Vendedor;CL001;Tienda Matriz;10017;Cama Box;Casa;1189,9;1899,5;1;;18/03/19 9:08;25/03/19 15:58
123456111;José María;Vendedor;CL001;Tienda Matriz;10008;Cafetera;Cocina;159,9;284,9;1;;28/01/20 16:40;29/01/20 11:59
123456111;José María;Vendedor;CL001;Tienda Matriz;10015;Microondas;Electrodomésticos;189;364,5;1;;30/10/20 17:27;31/10/20 14:16
123456111;José María;Vendedor;CL001;Tienda Matriz;10016;Guarda Ropa;Casa;489,9;999;1;;23/10/20 17:41;30/10/20 9:27
123456111;José María;Vendedor;CL001;Tienda Matriz;10010;Freidora eléctrica;Cocina;187,9;340;1;;30/11/19 15:51;30/11/19 17:51
123456111;José María;Vendedor;CL001;Tienda Matriz;10008;Cafetera;Cocina;159,9;284,9;1;;24/09/20 13:33;24/09/20 15:31
123456111;José María;Vendedor;CL001;Tienda Matriz;10016;Guarda Ropa;Casa;489,9;999;1;;19/09/20 14:19;23/09/20 16:14
123456111;José María;Vendedor;CL001;Tienda Matriz;10004;Máquina de lavar ropa;Electrodomésticos;1099;1709,1;1;0,05;31/03/20 13:36;3/04/20 13:14
123456111;José María;Vendedor;CL001;Tienda Matriz;10002;Tablet;Electrónicos;799;1424,91;1;;22/05/20 12:37;22/05/20 17:46
123456111;José María;Vendedor;CL001;Tienda Matriz;10012;Procesador de alimentos;Cocina;110;189,9;1;;12/05/20 11:19;13/05/20 9:32
123456111;José María;Vendedor;CL001;Tienda Matriz;10015;Microondas;Electrodomésticos;189;364,5;1;;28/09/20 13:24;28/09/20 13:41
123456111;José María;Vendedor;CL001;Tienda Matriz;10020;Impresora;Electrónicos;329,9;674,1;1;;23/06/20 12:23;23/06/20 16:51
123456111;José María;Vendedor;CL001;Tienda Matriz;10001;Smartphone;Electrónicos;899,9;1676,9;1;;25/01/20 12:56;25/01/20 15:14
123456111;José María;Vendedor;CL001;Tienda Matriz;10003;Televisor;Electrodomésticos;1400,9;2279,99;1;;7/11/19 15:52;10/11/19 17:08
123456111;José María;Vendedor;CL001;Tienda Matriz;10003;Televisor;Electrodomésticos;1400,9;2279,99;1;;24/08/19 14:03;27/08/19 14:56
123456111;José María;Vendedor;CL001;Tienda Matriz;10010;Freidora eléctrica;Cocina;187,9;340;1;;2/11/20 17:15;3/11/20 12:51
123456111;José María;Vendedor;CL001;Tienda Matriz;10001;Smartphone;Electrónicos;899,9;1676,9;1;;15/01/19 14:10;16/01/19 11:07
123456111;José María;Vendedor;CL001;Tienda Matriz;10004;Máquina de lavar ropa;Electrodomésticos;1099;1709,1;1;0,05;28/02/19 14:44;7/03/19 13:25
123456111;José María;Vendedor;CL001;Tienda Matriz;10004;Máquina de lavar ropa;Electrodomésticos;1099;1709,1;1;0,05;15/09/19 14:13;17/09/19 17:01
123456111;José María;Vendedor;CL001;Tienda Matriz;10012;Procesador de alimentos;Cocina;110;189,9;1;;26/06/19 14:21;27/06/19 14:03
123456111;José María;Vendedor;CL001;Tienda Matriz;10015;Microondas;Electrodomésticos;189;364,5;1;;21/11/20 12:19;21/11/20 14:52
123456111;José María;Vendedor;CL001;Tienda Matriz;10009;Plancha;Casa;27,9;55,9;1;;10/05/20 12:21;10/05/20 13:02
123456111;José María;Vendedor;CL001;Tienda Matriz;10001;Smartphone;Electrónicos;899,9;1676,9;1;;24/06/20 12:43;25/06/20 10:23
123456111;José María;Vendedor;CL001;Tienda Matriz;10002;Tablet;Electrónicos;799;1424,91;1;;26/10/20 13:01;26/10/20 16:34
123456111;José María;Vendedor;CL001;Tienda Matriz;10004;Máquina de lavar ropa;Electrodomésticos;1099;1709,1;1;0,05;12/03/19 15:56;15/03/19 12:21
123456111;José María;Vendedor;CL001;Tienda Matriz;10019;Sofá;Casa;789,9;1399;1;;12/03/20 11:34;16/03/20 17:30
123456111;José María;Vendedor;CL001;Tienda Matriz;10002;Tablet;Electrónicos;799;1424,91;1;;14/08/20 9:26;14/08/20 13:58
123456111;José María;Vendedor;CL001;Tienda Matriz;10010;Freidora eléctrica;Cocina;187,9;340;1;;16/06/20 11:54;16/06/20 12:22
123456111;José María;Vendedor;CL001;Tienda Matriz;10004;Máquina de lavar ropa;Electrodomésticos;1099;1709,1;1;0,05;5/09/19 10:36;10/09/19 12:46
123456111;José María;Vendedor;CL001;Tienda Matriz;10017;Cama Box;Casa;1189,9;1899,5;1;;30/06/20 11:23;5/07/20 11:04
123456111;José María;Vendedor;CL001;Tienda Matriz;10004;Máquina de lavar ropa;Electrodomésticos;1099;1709,1;1;0,05;15/03/20 17:41;17/03/20 15:26
123456111;José María;Vendedor;CL001;Tienda Matriz;10008;Cafetera;Cocina;159,9;284,9;1;;30/11/19 13:20;30/11/19 17:20
123456111;José María;Vendedor;CL001;Tienda Matriz;10006;Aspiradora de piso;Casa;88,9;189,9;1;;21/06/20 10:34;21/06/20 16:39
123456111;José María;Vendedor;CL001;Tienda Matriz;10016;Guarda Ropa;Casa;489,9;999;1;;23/02/20 11:31;25/02/20 11:39
123456111;José María;Vendedor;CL001;Tienda Matriz;10004;Máquina de lavar ropa;Electrodomésticos;1099;1709,1;1;0,05;12/09/19 16:40;19/09/19 17:05
123456111;José María;Vendedor;CL001;Tienda Matriz;10020;Impresora;Electrónicos;329,9;674,1;1;;10/10/19 9:16;10/10/19 17:42
123456111;José María;Vendedor;CL001;Tienda Matriz;10005;Notebook;Electrónicos;2299,9;3199;1;;30/11/20 16:00;1/12/20 9:28
123456111;José María;Vendedor;CL001;Tienda Matriz;10016;Guarda Ropa;Casa;489,9;999;1;;16/01/20 11:42;18/01/20 17:35
123456111;José María;Vendedor;CL001;Tienda Matriz;10007;Batidora;Cocina;49,9;95,9;1;;18/04/19 11:54;18/04/19 13:00
123456111;José María;Vendedor;CL001;Tienda Matriz;10008;Cafetera;Cocina;159,9;284,9;1;;6/03/20 10:21;6/03/20 17:31
123456111;José María;Vendedor;CL001;Tienda Matriz;10019;Sofá;Casa;789,9;1399;1;;6/07/20 14:01;13/07/20 16:56
123456111;José María;Vendedor;CL001;Tienda Matriz;10019;Sofá;Casa;789,9;1399;1;;29/09/19 13:06;5/10/19 9:34
123456111;José María;Vendedor;CL001;Tienda Matriz;10001;Smartphone;Electrónicos;899,9;1676,9;1;;10/12/20 10:44;10/12/20 14:27
123456111;José María;Vendedor;CL001;Tienda Matriz;10008;Cafetera;Cocina;159,9;284,9;1;;7/06/20 13:14;7/06/20 13:58
123456111;José María;Vendedor;CL001;Tienda Matriz;10015;Microondas;Electrodomésticos;189;364,5;1;;16/06/20 9:42;16/06/20 16:25
123456111;José María;Vendedor;CL001;Tienda Matriz;10015;Microondas;Electrodomésticos;189;364,5;1;;18/10/20 10:01;18/10/20 12:19
123456111;José María;Vendedor;CL001;Tienda Matriz;10017;Cama Box;Casa;1189,9;1899,5;1;;14/10/19 17:53;19/10/19 9:01
123456111;José María;Vendedor;CL001;Tienda Matriz;10014;Heladera;Electrodomésticos;699,9;1346,9;1;;15/07/20 11:51;21/07/20 16:55
123456111;José María;Vendedor;CL001;Tienda Matriz;10016;Guarda Ropa;Casa;489,9;999;1;;14/02/20 17:11;19/02/20 16:33
123456111;José María;Vendedor;CL001;Tienda Matriz;10002;Tablet;Electrónicos;799;1424,91;1;;6/02/20 16:41;6/02/20 17:28
123456111;José María;Vendedor;CL001;Tienda Matriz;10015;Microondas;Electrodomésticos;189;364,5;1;;8/01/20 10:14;8/01/20 14:26
